No.,分类,曲名,创作者,谱面,BPM,版本,别名
752,ORIGINAL,Hey Yeah!!,KOTONOHOUSE,STD 3 | STD 7 | STD 10+ | STD 13+,165,PARADISE,
751,ORIGINAL,Yume no hajimari,Virtual Cat,STD 2 | STD 6 | STD 10+ | STD 13+,98,PARADISE,狂2085|2085狂
750,ORIGINAL,絶対トキメキデリバリー,TOKOTOKO（西沢さんP） feat.あやぽんず＊,STD 3 | STD 5 | STD 10+ | STD 13+,138,PARADISE,
749,ORIGINAL,ROAD TO DREAM,達見 恵 featured by 佐野宏晃,STD 3 | STD 6 | STD 9+ | STD 13+,175,PARADISE,
748,ORIGINAL,テリトリーバトル,ツユ,STD 2 | STD 5 | STD 9 | STD 12,140,,领土战争|小南娘|小男娘|日服男刀
747,niconico,フィクサー,ぬゆり,STD 2 | STD 5 | STD 9+ | STD 13,135,CRYSTAL PLUS,fixer
746,POPS & ANIME,さよならエレジー,菅田将暉,STD 2 | STD 5 | STD 8 | STD 11,155,,
745,niconico,乙女解剖,DECO*27,STD 2 | STD 5 | STD 8 | STD 11+,134,CRYSTAL PLUS,
744,niconico,命に嫌われている,カンザキイオリ,STD 3 | STD 6 | STD 9 | STD 13,200,CRYSTAL PLUS,命嫌
743,ORIGINAL,The Metaverse -First story of the SeelischTact-,光吉猛修 VS 目黒将司,STD 5 | STD 10 | STD 14 | STD 15+,190,CRYSTAL PLUS,元宇宙|metaverse|小鸡鸡伸过来让我砸一下|the|元|meta
742,VARIETY,小悪魔の遊園地,光吉猛修の弟,STD 4 | STD 8 | STD 13+ | STD 15,183,CRYSTAL PLUS,游乐园|小恶魔|小恶魔的游乐园
741,東方Project,レータイスパークEx,ビートまりお（COOL&CREATE）,STD 4 | STD 7 | STD 11 | STD 14,210,CRYSTAL PLUS,
740,東方Project,Sweet Requiem,REDALiCE & aran,STD 4 | STD 6 | STD 10+ | STD 14,190,CRYSTAL PLUS,红蓝灵梦
739,VARIETY,Ascension to Heaven,xi,STD 4 | STD 8 | STD 13+ | STD 15,200,CRYSTAL PLUS,飞升天堂|ah|ath|飞升
738,POPS & ANIME,今宵mofumofu!!,仙狐（CV：和氣あず未）、シロ（CV：内田真礼）「世話やきキツネの仙狐さん」,STD 3 | STD 6 | STD 9 | STD 12+,206,,
737,ゲキマイ,P！P！P！P！がおー!!,曲：Tom-H@ck／歌：結城 莉玖(CV：朝日奈 丸佳),STD 3 | STD 6 | STD 10+ | STD 13+,250,CRYSTAL PLUS,
736,ゲキマイ,Here We Go,曲：TeddyLoid／歌：高瀬 梨緒(CV：久保 ユリカ),STD 3 | STD 5 | STD 9+ | STD 13+,150,CRYSTAL PLUS,黑喂狗
735,ゲキマイ,みんな Happy!!,曲：ヒゲドライバー／歌：藤沢 柚子(CV：久保田 梨沙),STD 2 | STD 5 | STD 8 | STD 11,135,CRYSTAL PLUS,
734,ゲキマイ,Perfect Shining!!,曲：宮崎誠／歌：星咲 あかり(CV：赤尾 ひかる),STD 3 | STD 6 | STD 9 | STD 12+,182,CRYSTAL PLUS,
733,ORIGINAL,宿星審判,suzu,STD 4 | STD 9+ | STD 13+ | STD 15+,189,CRYSTAL PLUS,雅迪|宿星审判|宿
732,ORIGINAL,Hainuwele,ETIA.,STD 4 | STD 8 | STD 13+ | STD 14+,175,CRYSTAL PLUS,超大杯|雅迪|华为完了|华为
731,ORIGINAL,ハードコア・シンドローム,t+pazolite (HARDCORE TANO*C) feat.TANO*C ALL STARS,STD 4 | STD 7+ | STD 12 | STD 14+,190,CRYSTAL PLUS,hardcore syndrome|打架第二名|hardcore|硬核|梅西哥拆机
730,ORIGINAL,U ARE,MK&Kanae Asaba,STD 2 | STD 6 | STD 10+ | STD 14+,130,CRYSTAL PLUS,你是
729,イロドリミドリ,We Are Us,舞ヶ原シンセ研究会,STD 2 | STD 7 | STD 10 | STD 13,145,PARADISE,
728,イロドリミドリ,君と、この瞬間,イロドリミドリ,STD 3 | STD 6 | STD 8+ | STD 12+,188,CRYSTAL PLUS,
727,VARIETY,Jade Star,SHIKI,STD 4 | STD 7 | STD 10+ | STD 14,152,CRYSTAL PLUS,翠星石
726,POPS & ANIME,禁じられた遊び,ALI PROJECT「ローゼンメイデン」,STD 2 | STD 5 | STD 8 | STD 12+,121,,
725,POPS & ANIME,殺人レコード恐怖のメロディ,作曲：宮内國郎「チャージマン研！」,STD 3 | STD 6 | STD 10 | STD 14,138,,
724,POPS & ANIME,チャージマン研！,歌：ひばり児童合唱団、作曲：宮内國郎、作詞：ナック企画部「チャージマン研！」,STD 2 | STD 5 | STD 8+ | STD 12+,141,,
723,VARIETY,檄！帝国華撃団＜新章＞,佐倉綾音（天宮さくら）、内田真礼（東雲初穂）、山村響（望月あざみ）、福原綾香（アナスタシア・パルマ）、早見沙織（クラリス）「新サクラ大戦」,STD 3 | STD 6 | STD 8 | STD 11+,143,CRYSTAL PLUS,新缴
722,イロドリミドリ,SUPER RESULT BEAT vol.1,V.I.(Various Irodorimidori),STD 3 | STD 6 | STD 10 | STD 13+,166,CRYSTAL PLUS,
721,イロドリミドリ,アイジャストロック,HaNaMiNa,STD 3 | STD 6 | STD 10 | STD 12+,200,CRYSTAL PLUS,
720,VARIETY,Blackmagik Blazing,かめりあ,STD 5 | STD 9+ | STD 13 | STD 15,256,CRYSTAL PLUS,黑魔法
719,VARIETY,インドア系ならトラックメイカー,Yunomi & nicamoq,STD 3 | STD 5 | STD 10 | STD 12+,128,CRYSTAL PLUS,室内系
718,POPS & ANIME,Lostorage,井口裕香「Lostorage incited WIXOSS」,STD 3 | STD 6 | STD 9+ | STD 12,189,,
717,POPS & ANIME,killy killy JOKER,分島花音「selector infected WIXOSS」,STD 3 | STD 6 | STD 9+ | STD 12,180,,
716,niconico,Jump for Joy,EasyPop,STD 2 | STD 5 | STD 9+ | STD 11+,126,CRYSTAL PLUS,
715,niconico,ブレス・ユア・ブレス,和田たけあき,STD 3 | STD 5 | STD 8 | STD 13,152,CRYSTAL PLUS,
714,niconico,グリーンライツ・セレナーデ,Omoi,STD 3 | STD 6 | STD 9 | STD 13+,200,CRYSTAL PLUS,绿灯小夜曲|绿灯|绿光小夜曲
713,POPS & ANIME,ALL FOR ONE★,Clutch!「八月のシンデレラナイン」,STD 3 | STD 5 | STD 8 | STD 11+,142,,
712,POPS & ANIME,かっとばせ！未来へ,HUiT「八月のシンデレラナイン」,STD 3 | STD 6 | STD 9 | STD 11,180,,
711,ORIGINAL,大天使ユリア★降臨!,MOSAIC.WAV,STD 4 | STD 8 | STD 11+ | STD 14,215,CRYSTAL PLUS,
710,ORIGINAL,エキセントリックコンコン,Clean Tears feat.kukuri,STD 3 | STD 5 | STD 10 | STD 13+,150,CRYSTAL PLUS,
709,ORIGINAL,ドルオタ忍道！楠子ノ巻,コバヤシユウヤ（IOSYS） feat.You-Re:,STD 3 | STD 6 | STD 10+ | STD 13+,175,CRYSTAL PLUS,
708,ORIGINAL,ちゅんちゅちゅチューン,さつき が てんこもり feat.kana,STD 3 | STD 6 | STD 10 | STD 13,173,CRYSTAL PLUS,
707,ORIGINAL,Jörqer,owl＊tree feat.yu＊tree,STD 3 | STD 6 | STD 10 | STD 13+,98,CRYSTAL PLUS,
706,イロドリミドリ,アフタースクール・エモーション,明坂 芹菜(CV:新田 恵海)＆天王洲 なずな(CV:山本 彩乃),STD 2 | STD 5 | STD 8 | STD 11+,85,CRYSTAL PLUS,
705,VARIETY,felys -final remix-,onoken,STD 4 | STD 7 | STD 12 | STD 14,180,CRYSTAL PLUS,凤梨酥
704,niconico,クレイジー・ビート,さつき が てんこもり「#コンパス」,STD 2 | STD 5 | STD 10 | STD 12+,130,CRYSTAL PLUS,crazy beat
703,niconico,残響,164「#コンパス」,STD 2 | STD 6 | STD 9 | STD 13,140,CRYSTAL PLUS,
702,niconico,アヤカシ,buzzG「#コンパス」,STD 3 | STD 6 | STD 9+ | STD 12,186,CRYSTAL PLUS,
701,niconico,KILLER B,梅とら「#コンパス」,STD 2 | STD 5 | STD 10 | STD 13+,130,CRYSTAL PLUS,杀B
700,niconico,バイオレンストリガー,八王子P「#コンパス」,STD 3 | STD 6 | STD 10+ | STD 13,196,CRYSTAL PLUS,暴力扳机
699,ORIGINAL,Therapeutic Hoedown,うどんゲルゲ,STD 4 | STD 8 | STD 12 | STD 14,165,CRYSTAL PLUS,煞笔|屎|神经病医生|地雷|神经病
698,ORIGINAL,パームカルマ,ポリスピカデリー feat.相宮零,STD 3 | STD 7 | STD 11 | STD 13+,153,CRYSTAL PLUS,
697,ORIGINAL,迷える薔薇に終わらぬ夜を,YM feat.かんせる,STD 3 | STD 6 | STD 10 | STD 12+,230,CRYSTAL PLUS,
696,ORIGINAL,ロング・スロー・アライブ,はるまきごはん feat.めらみぽっぷ,STD 3 | STD 6 | STD 9 | STD 11+,200,CRYSTAL PLUS,
695,イロドリミドリ,紅き魔汁、闇より降りて天啓の響きを導く,月鈴 白奈(CV:高野 麻里佳),STD 4 | STD 7+ | STD 10+ | STD 14,185,CRYSTAL PLUS,红魔汁
694,東方Project,悪戯センセーション,森羅万象,STD 4 | STD 6 | STD 9+ | STD 13,192,CRYSTAL PLUS,
693,東方Project,ARROW RAIN feat. Ayame,Alstroemeria Records,STD 3 | STD 7 | STD 10+ | STD 13+,180,CRYSTAL PLUS,
692,東方Project,メイドと血の懐中時計,岸田教団&THE明星ロケッツ,STD 3 | STD 6 | STD 9+ | STD 12+,184,CRYSTAL PLUS,
691,東方Project,7 days a week,Silver Forest,STD 2 | STD 5 | STD 8+ | STD 11+,144,CRYSTAL PLUS,
690,東方Project,Energy Booster ～ 上海紅茶館,激戦の人,STD 3 | STD 6 | STD 10+ | STD 13+,187,CRYSTAL PLUS,
689,イロドリミドリ,Day by Day CRiSiS Songs,御形 アリシアナ(CV:福原 綾香)＆箱部 なる(CV:M・A・O),STD 2 | STD 5 | STD 9 | STD 13+,138,CRYSTAL PLUS,
688,VARIETY,MARENOL,LeaF & Optie & Fiz,STD 5 | STD 7+ | STD 12+ | STD 15,140,CRYSTAL PLUS,骂人|骂人ol
687,POPS & ANIME,Kadenz,榊原 ゆい「Dies irae」,STD 3 | STD 7 | STD 10+ | STD 13+,230,CRYSTAL PLUS,
686,POPS & ANIME,ダイヤモンドハッピー,わか・ふうり・すなお from STAR☆ANIS「アイカツ！」,STD 3 | STD 6 | STD 8+ | STD 12+,190,,
685,POPS & ANIME,アイドル活動！オンパレード！ver.,らき・あいね・みお from BEST FRIENDS！/わか・るか・せな「アイカツオンパレード！」,STD 3 | STD 5 | STD 8 | STD 11+,190,,
684,niconico,だれかの心臓になれたなら,ユリイ・カノン,STD 2 | STD 6 | STD 8+ | STD 12+,145,CRYSTAL PLUS,想要成为谁的心脏
683,niconico,絶対にチョコミントを食べるアオイチャン,GYARI,STD 3 | STD 6 | STD 9 | STD 13+,140,CRYSTAL PLUS,琴叶葵
682,niconico,メルティランドナイトメア,はるまきごはん,STD 2 | STD 6 | STD 8+ | STD 11,140,CRYSTAL PLUS,melty land nightmare
681,POPS & ANIME,狩猟戦旗～REQUIEM,「白猫プロジェクト」,STD 3 | STD 6 | STD 9 | STD 14,139,,
680,POPS & ANIME,Ray ―はじまりのセカイ― (クロニクルアレンジver.),山崎寛子「白猫プロジェクト」,STD 2 | STD 5 | STD 8 | STD 12+,99,,
679,ORIGINAL,《破滅》 ～ Rhapsody for The End,Spiegel vs Ice,STD 4 | STD 8+ | STD 12+ | STD 15,180,CRYSTAL PLUS,破灭|猛料大杯
678,ORIGINAL,シャッキーーン！！,黒魔,STD 3 | STD 7 | STD 11 | STD 14,165,CRYSTAL PLUS,
677,ORIGINAL,モノクロトワイライト,カラフル・サウンズ・ポート,STD 2 | STD 5 | STD 9+ | STD 13+,128,CRYSTAL PLUS,
676,ORIGINAL,Ghost Dance,亜沙 feat.くろくも,STD 3 | STD 6 | STD 9 | STD 12+,154,CRYSTAL PLUS,
675,ゲキマイ,Secret Sleuth,島爺×蜂屋ななし,STD 2 | STD 6 | STD 10+ | STD 13+,288,CRYSTAL PLUS,
674,イロドリミドリ,エンドマークに希望と涙を添えて ～イロドリミドリアレンジ～,イロドリミドリ,STD 3 | STD 7 | STD 10 | STD 13+,220,CRYSTAL PLUS,彩绿希望泪
673,イロドリミドリ,やらなきゃいけないことばかり,小仏 凪(CV:佐倉 薫)＆月鈴 白奈(CV:高野 麻里佳),STD 2 | STD 6 | STD 9 | STD 13,140,CRYSTAL PLUS,
672,VARIETY,Sound Chimera,Laur,STD 4 | STD 9 | STD 11 | STD 14+,190,CRYSTAL PLUS,奇美拉
671,VARIETY,Auxesia,ginkiha「Arcaea」,STD 3 | STD 7 | STD 10+ | STD 13,183,CRYSTAL PLUS,
670,niconico,Catch the Wave,livetune,STD 2 | STD 6 | STD 9 | STD 12,153,CRYSTAL PLUS,
669,POPS & ANIME,God knows...,涼宮ハルヒ（CV.平野 綾） TVアニメ「涼宮ハルヒの憂鬱」,STD 2 | STD 6 | STD 9 | STD 12+,150,,
668,POPS & ANIME,五等分の気持ち,中野家の五つ子（花澤香菜・竹達彩奈・伊藤美来・佐倉綾音・水瀬いのり） TVアニメ「五等分の花嫁」,STD 3 | STD 5 | STD 9+ | STD 11,175,,
667,POPS & ANIME,紅蓮華,LiSA,STD 2 | STD 5 | STD 8 | STD 11+,135,,
666,POPS & ANIME,お願いマッスル,紗倉ひびき（CV:ファイルーズあい）＆街雄鳴造（CV:石川界人）「ダンベル何キロ持てる？」,STD 2 | STD 5 | STD 8 | STD 12+,132,,
665,POPS & ANIME,君色Everyday,ヘスティア（CV:水瀬いのり）「ダンジョンに出会いを求めるのは間違っているだろうか」,STD 3 | STD 5 | STD 8 | STD 11+,172,,
664,POPS & ANIME,HELLO to DREAM,井口裕香「ダンジョンに出会いを求めるのは間違っているだろうかⅡ」,STD 2 | STD 5 | STD 8 | STD 11,160,,
663,VARIETY,Be A Shooter！～NORMAL BIG BONUS～,Sammy sound team,STD 3 | STD 7 | STD 10 | STD 12,157,CRYSTAL,
662,VARIETY,チョウの標本,Bitplane,STD 3 | STD 7 | STD 11 | STD 14,170,CRYSTAL,标本|蝴蝶标本
661,イロドリミドリ,conflict(斉唱),イロドリミドリ,STD 4 | STD 7 | STD 10+ | STD 14,160,CRYSTAL PLUS,彩绿公交车
660,ゲキマイ,Zest of Blue,曲：上松範廉(Elements Garden)／歌：三角 葵(CV：春野 杏),STD 3 | STD 5 | STD 8+ | STD 12,144,CRYSTAL,
659,ゲキマイ,タテマエと本心の大乱闘,曲：鯨井国家／歌：藍原 椿(CV：橋本 ちなみ),STD 3 | STD 6 | STD 9 | STD 12,180,CRYSTAL,大乱斗|椿批金曲|蓝原椿
658,VARIETY,Life is PIANO,Junk,STD 3 | STD 6 | STD 11 | STD 13+,133,CRYSTAL,生命是钢琴|命是琴|生命如琴
657,VARIETY,7 colors*,Aliesrite* (Ym1024 feat. lamie*),STD 3 | STD 6 | STD 10 | STD 13,184,CRYSTAL,七色
656,VARIETY,Giselle,Sobrem a.k.a. Widowmaker,STD 3 | STD 7+ | STD 13+ | STD 15,152,CRYSTAL,鸡饲料|雅迪|吉赛尔
655,POPS & ANIME,Bull's Eye,ナノ「緋弾のアリアAA」,STD 3 | STD 6 | STD 9+ | STD 13+,197,,
654,VARIETY,音弾超人ゴリライザー,ゴリライザー制作委員会,STD 3 | STD 7 | STD 11 | STD 13+,138,CRYSTAL,音弹超人
653,POPS & ANIME,nowhere,FictionJunction YUUKA｢MADLAX｣,STD 2 | STD 5 | STD 8 | STD 10+,155,,
652,POPS & ANIME,巫女みこナース・愛のテーマ,Chu☆,STD 3 | STD 6 | STD 9+ | STD 12+,160,CRYSTAL,
651,POPS & ANIME,Rightfully,Mili「ゴブリンスレイヤー」,STD 3 | STD 6 | STD 8+ | STD 13,182,CRYSTAL,
650,VARIETY,SON OF SUN,Hosoe Shinji,STD 5 | STD 7+ | STD 13+ | STD 14 | STD 15,200,CRYSTAL,日儿子|地雷|雅迪|日之子
649,VARIETY,Memory of Beach,M2U,STD 2 | STD 5 | STD 10 | STD 13+,130,CRYSTAL,
648,VARIETY,Ladymade Star,ESTi,STD 2 | STD 5 | STD 8 | STD 11+,136,CRYSTAL,
647,POPS & ANIME,目覚めRETURNER,フランシュシュ「ゾンビランドサガ」,STD 3 | STD 5 | STD 8 | STD 12,145,,
646,POPS & ANIME,徒花ネクロマンシー,フランシュシュ「ゾンビランドサガ」,STD 3 | STD 6 | STD 8+ | STD 12,172,,
645,イロドリミドリ,Road without Road,HaNaMiNa feat.Nanase,STD 3 | STD 6 | STD 9 | STD 12+,174,CRYSTAL,
644,ORIGINAL,Trrricksters!!,s-don vs. 翡乃イスカ,STD 4 | STD 9+ | STD 13 | STD 15,155,CRYSTAL,雅迪|难|trickstar|！|!|trickster|1秒15.4|trrr|地雷|二见鸟
643,ORIGINAL,Megameteor,削除,STD 4 | STD 9 | STD 12+ | STD 15,187,CRYSTAL,大陨石|四大天王
642,ORIGINAL,Fidget Dancer,nora2r,STD 3 | STD 7+ | STD 11 | STD 14,175,CRYSTAL,
641,ORIGINAL,Destination,Nhato,STD 2 | STD 7 | STD 9+ | STD 13+,133,CRYSTAL,终点
640,ORIGINAL,ヴンダーカンマー,麹町養蚕館,STD 3 | STD 6 | STD 10 | STD 13+,145,CRYSTAL,
639,東方Project,Bad Apple!! feat.nomico (Nhato Remix),Masayoshi Minoshima × Nhato,STD 2 | STD 6 | STD 8+ | STD 12+,138,CRYSTAL,
638,東方Project,神楽,Liz Triangle,STD 3 | STD 6 | STD 10 | STD 13,175,CRYSTAL,神乐
637,東方Project,Cosmic Magic Shooter,SOUND HOLIC feat. Nana Takahashi,STD 3 | STD 6 | STD 9 | STD 12+,163,CRYSTAL,
636,東方Project,STRIPES feat. EL.J (2018 reinterpretation),発熱巫女～ず,STD 2 | STD 5 | STD 8+ | STD 11,128,CRYSTAL,
635,東方Project,Endless Seeker,A-One,STD 3 | STD 6 | STD 9 | STD 13,163,CRYSTAL,
634,東方Project,Pump!n,IOSYS TRAX (uno & D.watt),STD 2 | STD 6 | STD 10 | STD 13+,128,CRYSTAL,
633,niconico,magnet,minato(流星P),STD 3 | STD 5 | STD 8+ | STD 11+,108,CRYSTAL,磁铁
632,niconico,＊ハロー、プラネット。,sasakure.UK,STD 2 | STD 6 | STD 8 | STD 12+,150,CRYSTAL,hello planet
631,niconico,ダブルラリアット,アゴアニキ,STD 2 | STD 5 | STD 9 | STD 11,138,CRYSTAL,转圈歌
630,niconico,結んで開いて羅刹と骸,ハチ,STD 3 | STD 5 | STD 8+ | STD 12+,169,CRYSTAL,
629,POPS & ANIME,ストライク・ザ・ブラッド,岸田教団&THE明星ロケッツ「ストライク・ザ・ブラッド」,STD 3 | STD 7 | STD 10+ | STD 13+,208,,
628,ゲキマイ,MEGATON BLAST,BlackY vs. Yooh,STD 4 | STD 8 | STD 13 | STD 14+,194,CRYSTAL,百万爆|早濑优香|优香|体操服优香|百万吨爆炸|爆
627,VARIETY,AXION,削除,STD 3 | STD 7 | STD 11 | STD 14+,160,CRYSTAL,公理
626,POPS & ANIME,ハッピー・ハッピー・フレンズ,わたてん☆5「私に天使が舞い降りた！」,STD 3 | STD 6 | STD 9 | STD 12+,126,,happy happy friends|天使降临到我身边
625,POPS & ANIME,気ままな天使たち,わたてん☆5「私に天使が舞い降りた！」,STD 2 | STD 5 | STD 8+ | STD 11,126,,
624,ORIGINAL,とーきょー全域★アキハバラ？ (ver.にこる),MOSAIC.WAV／t+pazolite feat.ななひら,STD 3 | STD 7 | STD 10 | STD 13+,215,CRYSTAL,
623,イロドリミドリ,みなえをチェック！,小野 美苗(CV:伊藤 美来),STD 3 | STD 6 | STD 9 | STD 13+,178,CRYSTAL,
622,VARIETY,御旗のもとに,「サクラ大戦３ ～巴里は燃えているか～」,STD 2 | STD 5 | STD 9 | STD 12,147,CRYSTAL,
621,POPS & ANIME,輪舞-revolution,奥井雅美「少女革命ウテナ」,STD 2 | STD 5 | STD 8 | STD 10+,128,,
620,POPS & ANIME,Star Divine,スタァライト九九組「少女☆歌劇 レヴュースタァライト」,STD 3 | STD 6 | STD 9 | STD 12,160,CRYSTAL,
619,POPS & ANIME,Deal with the devil,Tia「賭ケグルイ」,STD 3 | STD 6 | STD 9 | STD 13,142,,
618,ORIGINAL,《運命》 ～ Ray of Hope,3R2,STD 4 | STD 8 | STD 11 | STD 14,177,CRYSTAL,命运|运命
617,ORIGINAL,《最愛》 ～ Curse,James Landino feat.N i i,STD 3 | STD 5 | STD 9+ | STD 13+,157,CRYSTAL,最爱
616,ORIGINAL,《逃避》 ～ The Deserter,Bo-Xun Lin 林柏勲,STD 2 | STD 6 | STD 10+ | STD 13+,160,CRYSTAL,逃避
615,ORIGINAL,《理想》 ～ Cloudland,Shi Kuang Lee feat.A-Tz,STD 2 | STD 4 | STD 9+ | STD 12+,123,CRYSTAL,理想
614,ORIGINAL,《混乱》 ～ Muspell,Norn,STD 3 | STD 6 | STD 11 | STD 13+,165,CRYSTAL,混乱
613,イロドリミドリ,単一指向性オーバーブルーム,葛城 華(CV:丸岡 和佳奈),STD 3 | STD 5 | STD 9 | STD 12+,158,CRYSTAL,单一指向性
612,東方Project,進捗どうですか？,sumijun(Halozy) feat. ななひら(Confetto),STD 3 | STD 6 | STD 9 | STD 12+,199,CRYSTAL,
611,POPS & ANIME,Baby Sweet Berry Love,小倉 唯「変態王子と笑わない猫。」,STD 3 | STD 5 | STD 9 | STD 11,170,,
610,POPS & ANIME,野良猫ハート,パトリシア・オブ・エンド(CV：高森奈津美)、黒木 未知(CV：仙台エリ)、夕莉 シャチ(CV：浅川悠)、明日原 ユウキ(CV：種﨑敦美)「ノラと皇女と野良猫ハート」,STD 3 | STD 5 | STD 8 | STD 11+,162,CRYSTAL,
609,POPS & ANIME,▲MEW▲△MEW△CAKE,KOTOKO「ネコぱら」,STD 3 | STD 6 | STD 8 | STD 11,171,CRYSTAL,艹猫
608,niconico,太陽系デスコ,ナユタン星人,STD 2 | STD 5 | STD 8 | STD 11,150,CRYSTAL,太阳系迪斯科
607,niconico,リンカーネイション,kemu,STD 3 | STD 6 | STD 9 | STD 13,185,CRYSTAL,灵魂转生|reincarnation
606,niconico,おねがいダーリン,ONE (song by ナナホシ管弦楽団),STD 3 | STD 6 | STD 8+ | STD 12,180,CRYSTAL,拜托了亲爱的
605,niconico,アカリがやってきたぞっ,GYARI,STD 2 | STD 5 | STD 8 | STD 13,136,CRYSTAL,绁星灯|akari来了哦
604,niconico,幾望の月,なきゃむりゃ,STD 2 | STD 6 | STD 10 | STD 13+ | STD 14,138,CRYSTAL,几望之月
603,ORIGINAL,まごころのカスクルゥト,Yu-dachi,STD 2 | STD 5 | STD 9+ | STD 14,112,CRYSTAL,
602,ORIGINAL,Lover's Trick,litmus*,STD 2 | STD 5 | STD 8 | STD 13,130,CRYSTAL,
601,ORIGINAL,Walzer für das Nichts,Aoi Sumito,STD 4 | STD 8 | STD 12 | STD 14+,215,CRYSTAL,德二|德国人2|德2
600,ORIGINAL,absolute rightness,Acotto,STD 4 | STD 7+ | STD 12+ | STD 14,194,CRYSTAL,绝对正义|小威猛先生|小世征
599,ORIGINAL,Trackless wilderness,Noah,STD 4 | STD 8 | STD 11+ | STD 14+,217,CRYSTAL,tracklesswilderness|无轨狂暴|狂暴键盘|tw|无轨荒原
598,ORIGINAL,せかいせいふく！ゆりあちゃん！,立秋,STD 3 | STD 7 | STD 12 | STD 14,195,CRYSTAL,电音蝌蚪
597,VARIETY,R.I.P.,eicateve,STD 4 | STD 7 | STD 11 | STD 14,192,CRYSTAL,rip|逝者安息|安息
596,VARIETY,Destr0yer,削除 feat. Nikki Simmons,STD 4 | STD 7 | STD 11 | STD 14+,90,CRYSTAL,destroyer|d0
595,ORIGINAL,Nijirate Fanatics,yukitani,STD 4 | STD 9 | STD 13+ | STD 14,210,CRYSTAL,
594,ORIGINAL,Surrogate Life,石渡太輔／アークシステムワークス,STD 4 | STD 8 | STD 12 | STD 14+,180,CRYSTAL,狗头|狗头人|代孕生活
593,ORIGINAL,レーイレーイ,かいりきベア feat.松下,STD 3 | STD 7 | STD 10+ | STD 13,188,CRYSTAL,
592,ORIGINAL,ハジマリノピアノ,ゆゆうた,STD 3 | STD 6 | STD 10+ | STD 14,190,CRYSTAL,最初的钢琴
591,ORIGINAL,【冒険】イングリット葛西降臨！【実況】,溝口ゆうま axel. 大瀬良あい,STD 3 | STD 6 | STD 10 | STD 13+,180,CRYSTAL,末白
590,ORIGINAL,ツクヨミステップ,ユリイ・カノン feat.nameless,STD 2 | STD 5 | STD 9+ | STD 13+,172,CRYSTAL,月读舞步
589,ORIGINAL,サヴァイバル・キリング・メーカー,じーざす（ワンダフル☆オポチュニティ！） ft.96猫,STD 3 | STD 6 | STD 9+ | STD 12+,192,CRYSTAL,survival killing maker
588,ORIGINAL,神威 (NAOKI × ZPP MIX),NAOKI MAEDA,STD 5 | STD 8+ | STD 13+ | STD 15,210,CRYSTAL,神威remix|神威naoki|小神威
587,ゲキマイ,Opfer,かねこちはる,STD 4 | STD 8 | STD 13+ | STD 15,175,CRYSTAL,op|元p|江江|叩|原批
586,ゲキマイ,Excalibur ～Revived resolution～,Project Grimoire,STD 4 | STD 8 | STD 12+ | STD 14+,200,CRYSTAL,圣剑2|生煎2
585,イロドリミドリ,"""STAR""T",HaNaMiNa feat.Nadeshiko,STD 3 | STD 6 | STD 8 | STD 12+,190,CRYSTAL,
584,東方Project,最終鬼畜妹フランドール・S,ビートまりお(COOL＆CREATE),STD 4 | STD 7 | STD 10+ | STD 14 | STD 14+,200,CRYSTAL,最终鬼畜妹|鬼畜妹
583,niconico,ヒバナ,DECO*27,STD 3 | STD 6 | STD 9+ | STD 13+ | STD 14,200,CRYSTAL,火花|七八十|7810
582,niconico,ロスタイムメモリー,じん,STD 3 | STD 6 | STD 9+ | STD 12+,210,CRYSTAL,回忆补时
